Comm_Method1,Send_Method1,Comm_Method2,Send_Method2,128_128_128,128_128_256,128_256_256,256_256_256,256_256_512,256_512_512,512_512_512,512_512_1024,512_1024_1024
Peer2Peer,Sync,Peer2Peer,Sync,38.37115050000001,75.13699500000001,149.67593749999995,299.3781675,594.9562274999998,1190.583875,2630.0424999999996,4746.8536,10037.451875000002
Peer2Peer,Sync,Peer2Peer,Sync,1.4529103784214652,0.001883538510101026,0.08323502951388792,45.03409781572598,1.2827181427967163,1.6153951231060617,476723.50755012623,7.914625924242425,4234478.847574669
Peer2Peer,Sync,Peer2Peer,Streams,42.71569524999999,90.68931299999998,169.71018750000002,445.51196,740.4430874999998,1660.1102750000002,3427.262200000001,6746.625325,14165.650899999999
Peer2Peer,Sync,Peer2Peer,Streams,10.50564052528655,59.71700997588989,314.20769712926136,12304.332361195358,8955.458719984055,15523.297077638255,240617.78187932837,281137.99271611805,891728.0436424899
Peer2Peer,Sync,Peer2Peer,MPI_Type,38.24716149999998,75.49070350000004,150.9565775,300.1779675,597.6352650000001,1196.3755750000003,2391.0325000000007,4768.583925000001,9719.244274999997
Peer2Peer,Sync,Peer2Peer,MPI_Type,0.0020287173411615545,0.0013635017679293215,8.132418387241154,0.3828084414835875,1.1298088293181945,1.7803398806818025,7.4091962121211505,6.511024527146686,564396.9818251632
Peer2Peer,Sync,All2All,Sync,38.499581,75.83667825000002,151.28555,302.1188125,601.4511775000001,1203.4494750000003,2406.226199999999,5257.661025,9919.898725
Peer2Peer,Sync,All2All,Sync,0.0020867568449494784,0.0022943400966540495,0.1425556603535339,0.6198141860795515,1.181098930928033,2.4562120321969685,6.536403217171638,1675978.571345972,2469897.0298232953
Peer2Peer,Sync,All2All,MPI_Type,38.52920850000001,76.03611799999997,151.69677750000002,303.08697749999993,603.8179899999999,1207.9667,2413.355900000002,4974.430899999998,9811.176250000002
Peer2Peer,Sync,All2All,MPI_Type,0.0022351775785353412,0.004513046124747509,0.10799058193813083,0.6234306895138921,1.5147427890404166,3.0125876111110648,5.514422414141465,344038.9584890809,593590.2904150885
Peer2Peer,Streams,Peer2Peer,Sync,54.89672175,116.64361024999997,173.53299000000007,352.26765000000006,744.2892425,1495.1150249999994,2952.219875,7133.636249999999,15382.262674999994
Peer2Peer,Streams,Peer2Peer,Sync,165.05701845459163,435.986527208158,2112.1548720453534,10670.071444151516,57344.47963514577,248376.16822910294,1064683.533616714,5391130.7583279675,15559634.761712788
Peer2Peer,Streams,Peer2Peer,Streams,50.597922749999995,126.68440950000004,225.48196750000005,390.11988749999995,884.6974074999998,2123.770025,3949.0033000000003,7849.610125000001,17544.018524999996
Peer2Peer,Streams,Peer2Peer,Streams,74.98953148746335,328.49224483518657,2142.537947845524,7326.842005280775,27785.476688447794,68706.11887013826,676724.8622109693,1906897.2174105262,5453839.051541049
Peer2Peer,Streams,Peer2Peer,MPI_Type,50.26805150000002,87.71326049999999,173.14453750000004,337.65202249999993,656.8862974999997,1764.4311000000002,2907.5712499999995,5409.6977000000015,14054.791200000005
Peer2Peer,Streams,Peer2Peer,MPI_Type,165.55854316752297,407.1562157432977,1298.861752052241,4247.498919445826,14108.305579778656,6842.677552818183,328550.8653565025,1079769.7236300104,2033896.7316784703
Peer2Peer,Streams,All2All,Sync,61.83984875,86.62458899999994,192.64687499999994,359.5232524999999,777.8967450000002,1625.3306499999997,4080.612274999999,6353.374000000002,15681.511424999999
Peer2Peer,Streams,All2All,Sync,41.372276425017375,417.50059510047106,2982.8888542922996,11503.734512724108,64382.702461969675,288910.2587161137,931498.285352916,4839073.625800884,6561494.609758618
Peer2Peer,Streams,All2All,MPI_Type,56.74964924999999,102.03046574999996,167.05192000000002,385.34164499999997,785.8702150000004,1611.3655,2763.707550000002,6991.514125000002,13780.763000000004
Peer2Peer,Streams,All2All,MPI_Type,148.3681721161295,606.3132816589477,992.2521319215658,5487.097043783057,40887.69158515026,127659.52041590905,371683.3837926742,710562.1773332544,2454177.3722792924
Peer2Peer,MPI_Type,Peer2Peer,Sync,38.319664,75.49028849999999,150.805005,300.176035,701.3790950000001,1195.5091749999995,2391.101925000001,5258.4964500000015,9773.315375000004
Peer2Peer,MPI_Type,Peer2Peer,Sync,0.021266772036868685,0.0017379185785353528,11.162084174217172,0.37881250128787886,50863.24926744669,2.452088643308067,6.761402759469777,1935363.1837730024,1664017.5272876741
Peer2Peer,MPI_Type,Peer2Peer,Streams,41.639988999999986,79.90006249999999,154.90751500000002,371.3524049999999,760.4372924999999,1643.050325,3263.1278,6776.135225000001,14122.254300000002
Peer2Peer,MPI_Type,Peer2Peer,Streams,9.233794743451009,47.68098516633208,134.7131387017929,2019.6367147042672,6877.982623002589,20758.57389124432,95803.87248096964,340381.0570392798,483323.50823788927
Peer2Peer,MPI_Type,Peer2Peer,MPI_Type,38.54388,75.90016800000001,227.43808750000005,301.49291999999997,600.3189774999997,1254.7954,2584.1026500000003,4791.253275000002,9944.604475
Peer2Peer,MPI_Type,Peer2Peer,MPI_Type,0.07924832181818174,0.1278043620338378,2681.1248733527464,0.31945095565656206,1.1712594988573146,42478.938320292924,204085.2243992197,6.957553623106108,1179292.242543724
Peer2Peer,MPI_Type,All2All,Sync,38.75257774999999,76.26614625000002,152.0193199999999,393.057005,604.2920774999999,1208.6051750000001,2475.0191,4821.709825,9885.433700000001
Peer2Peer,MPI_Type,All2All,Sync,0.31330459220827,0.06484567694917925,0.1688997917676759,17243.69275617927,1.4313799238573321,1.9887690978535588,163300.46602089898,4.949410259469701,1752835.5384947571
Peer2Peer,MPI_Type,All2All,MPI_Type,38.718615,76.42144124999997,152.4314825,304.46213750000004,606.5658850000001,1213.3783,2424.4700250000005,5020.09905,9846.663575
Peer2Peer,MPI_Type,All2All,MPI_Type,0.0028561669570707007,0.1020884176309973,0.1383221871906564,0.4086926115845972,1.227284355328278,3.0783275101010537,7.527145895833334,427091.26995767414,474407.8505105117
All2All,Sync,Peer2Peer,Sync,38.43646775000001,75.843728,151.49037499999994,302.22205,601.7967250000002,1205.0378999999998,2568.4465250000003,5267.583350000002,10143.860299999997
All2All,Sync,Peer2Peer,Sync,0.003819405256250013,0.003801526266161523,0.22804238446969663,0.4588827904040418,1.5217613655303017,1.8706096868686906,344171.8437441787,1775656.8328140427,4043270.054951803
