Peer2Peer,Sync
,64_64_64,64_64_128,64_128_128,128_128_128,128_128_256,128_256_256,256_256_256
FFT_Duration,0.4089779896529241,0.20001752512346768,0.19206349999203715,0.2318623718446365,0.28086959985805426,0.3104672431953705,0.3577451607718708
Comm_Duration,0.5261111108469012,0.7725375937481996,0.7688809022041341,0.7296377275256275,0.6509906107439991,0.6266769187343586,0.5577606062396464
Packing_Duration,0.07693742369101145,0.030390793816270294,0.04820957450310326,0.04175234998961591,0.0980841694572766,0.0841180010797491,0.10842282918934504
Unpacking_Duration,0.3670582618681601,0.6904825751515401,0.608888914655562,0.5385334207929944,0.3765896652196713,0.34691626219732424,0.2394713727926724
Packing_Comm_Overlap,0.04956475469260991,0.01959419039209091,0.034532490934693225,0.028572865262255043,0.06233113001008378,0.05944296771726613,0.08145107000077652
Unpacking_Comm_Overlap,0.32952003136638697,0.6738342974473868,0.5835104004201433,0.5132130048906193,0.34420291526891744,0.3087354574895361,0.181948898992758
Run,1.0,1.0,1.0,1.0,1.0,1.0,1.0

Peer2Peer,Streams
,64_64_64,64_64_128,64_128_128,128_128_128,128_128_256,128_256_256,256_256_256
FFT_Duration,0.04862603635346468,0.0635603894044593,0.0872581741114238,0.16443388170852838,0.20945669161393207,0.3157181016269149,0.34906202211332715
Comm_Duration,0.20724118831182922,0.21838390571588984,0.3222743386412912,0.3933293354175006,0.3890827195746605,0.38862306058013274,0.485664405274639
Packing_Duration,0.7413541458249812,0.7209749683372542,0.586178173905444,0.43066015195376867,0.38370818498248616,0.26934693597501763,0.13919611481517782
Unpacking_Duration,0.3269622072706097,0.2799361983965931,0.3615844938102557,0.3928362908114448,0.355331413082332,0.2759216945232433,0.24008296637778376
Packing_Comm_Overlap,0.0015966149323603002,0.008756881617306703,0.005767377694548072,0.006503313051357816,0.0010449372993099981,0.002556683630918195,0.008653357070649185
Unpacking_Comm_Overlap,0.3225869628285243,0.2740985802368897,0.3515278027738665,0.3747563468398846,0.3365340719541007,0.24705310907439038,0.20535215151027852
Run,1.0,1.0,1.0,1.0,1.0,1.0,1.0

Peer2Peer,MPI_Type
,64_64_64,64_64_128,64_128_128,128_128_128,128_128_256,128_256_256,256_256_256
FFT_Duration,0.16955747093929693,0.1641587735373668,0.17668277133483112,0.2292379105488882,0.30512302588050505,0.3523765718911008,0.3147848949322839
Comm_Duration,0.7897191908115612,0.7429249231771066,0.7202932575119328,0.6648948404596386,0.5675230116584612,0.4889533537246537,0.537754697191035
Packing_Duration,0.0243177083695388,0.03214661775880887,0.07103763884583554,0.07063362530524006,0.08305032934777709,0.11021794844682681,0.09965457580366738
Unpacking_Duration,0.7094530394621107,0.6722623373376271,0.5660563807850995,0.4941775922225398,0.34266276973416326,0.2715894011527909,0.31153022556256355
Packing_Comm_Overlap,0,0,0,0,0,0,0
Unpacking_Comm_Overlap,0.6942527127397609,0.6499796655596034,0.5352656305502116,0.4597308266256299,0.29899346850646696,0.2236208517418382,0.2640693777926945
Run,1.0,1.0,1.0,1.0,1.0,1.0,1.0

All2All,Sync
,64_64_64,64_64_128,64_128_128,128_128_128,128_128_256,128_256_256,256_256_256
FFT_Duration,0.12435170800934686,0.21893969439298233,0.16627949946007844,0.20544341140955288,0.2582512541365867,0.27923461287611534,0.28577678681392576
Comm_Duration,0.8223087017344143,0.6553740950098305,0.6763920808799632,0.638637874329802,0.526242969095973,0.4843398459305209,0.4803467753160054
Packing_Duration,0.020807832210828082,0.039956828941072685,0.05225936909027295,0.051945284283094105,0.08475066979586308,0.0942221874246954,0.10531983978642331
Unpacking_Duration,0.0317099116717116,0.08463349323402988,0.10446801252554026,0.1036398971944391,0.13044592672624902,0.1420313036421451,0.12842945799007252
Packing_Comm_Overlap,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unpacking_Comm_Overlap,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run,1.0,1.0,1.0,1.0,1.0,1.0,1.0

All2All,MPI_Type
,64_64_64,64_64_128,64_128_128,128_128_128,128_128_256,128_256_256,256_256_256
FFT_Duration,0.15434195533464876,0.19089487879141598,0.19633407145963708,0.1872516156997286,0.24559419354513562,0.30670174205326434,0.27484623374930844
Comm_Duration,0.7659092073642385,0.6720169405590302,0.6367288397718732,0.6137770834851162,0.5345315605369595,0.4508447337441063,0.5124995865934081
Packing_Duration,0.024523168935267174,0.047890959326726275,0.048177131357512025,0.06253139356836158,0.08125214996492772,0.11056572657477468,0.09204398416090877
Unpacking_Duration,0.0541171706332529,0.08819621807398102,0.11799403857753199,0.13601978050898675,0.13832324011229147,0.13169954851945528,0.1205100861580049
Packing_Comm_Overlap,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unpacking_Comm_Overlap,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run,1.0,1.0,1.0,1.0,1.0,1.0,1.0

